name,jurisdiction,jurisdictionType,entityType,status,birthyear,zipcode
"ZAHAB PROPERTY INVESTMENTS, LLC",MEXICO,world,FLAL,I,2007,33126
"ARES MARITIME, LLC",CAYMAN ISLANDS,world,FORL,I,2007,33134
"JMSTAR, INC.",CANADA,world,FORP,I,2008,33178
HATHWAY ELECTRIC LLC,URUGUAY,world,FLAL,A,2008,33131
INTER-AMERICAN TRADING CORP.,TURKS AND CAICOS ISLANDS,world,AGENT,A,2009,33131
INCORPORATED ITALSERVICES S.P.A.,ITALY,world,FORP,A,2011,33132
"AMFUELS INTL, INC.",GERMANY,world,DOMP,A,2012,33160
"REINOR, INC.",NETHERLANDS ANTILLES,world,FORP,I,1986,33131
COSMOS PUBLICIDAD S.A. CORPORATION,PERU,world,FORP,I,1989,33155
"SCOPE INVESTMENTS, INC.",CANADA,world,DOMP,I,1990,33173
"CASEDDY, S.A.",DOMINICAN REPUBLIC,world,FORP,I,1984,33129
"CASETTA LIMITED, A CORPORTION",BRITISH VIRGIN ISLANDS,world,FORP,I,1980,33131
HARKING INVESTMENTS N.V.,NETHERLANDS ANTILLES,world,FORP,I,1981,33156
COLTRACO REAL ESTATE COMPANY N.V.,NETHERLANDS ANTILLES,world,AGENT,A,1985,33134
CAPSICUM INVESTMENTS CORPORATION,LIBERIA,world,AGENT,A,1991,33143
"AERO SEA SHIPPING CO., INC.",JAMAICA,world,FORP,I,1981,33175
"SELECT AGENCIES, N.V.",NETHERLANDS ANTILLES,world,AGENT,A,1985,33131
ANTHONY NESTY FOUNDATION INCORPORATED,SURINAME,world,FORNP,I,1990,33166
JULIHANS INC.,CANADA,world,FORP,I,1979,33160
PEAT MARWICK LIMITED (CORPORATION),CANADA,world,FORP,I,1986,33131
"FINANPRO FLORIDA, INC.",COSTA RICA,world,DOMP,I,1990,33126
"B. M. WINKELMANN, S.R.L., INC.",PERU,world,FORP,I,1993,33133
"ROSTAL, S.A.",PANAMA,world,AGENT,A,1993,33131
"HL - COMPANY FOR FINANCING, INVESTMENT AND MANAGEMENT, INC.",GERMANY,world,DOMP,I,1993,33132
EDMAR INVESTMENTS N.V.,NETHERLANDS ANTILLES,world,AGENT,A,1993,33131
"TAMARI INTERNATIONAL, INC.",BRITISH VIRGIN ISLANDS,world,AGENT,A,1996,33134
MULTITUDE SPORTSWEAR PRIVATE LIMITED,SRI LANKA,world,FORLP,I,1997,33186
"SILVERCREEK HOLDINGS, INC.",BRITISH VIRGIN ISLANDS,world,AGENT,A,1999,33131
"PORT BROKERS, INC.",JAMAICA,world,FORP,A,1999,33126
PASTERNAK HOLDINGS LIMITED,BRITISH VIRGIN ISLANDS,world,AGENT,A,2000,33132
"FONDATION BAZILE, INC.",NETHERLANDS ANTILLES,world,DOMNP,I,2003,33168
"ASTERISCO COMMUNICATIONS, LLC",MEXICO,world,FLAL,I,2006,33134
"INTELISIS, LLC",MEXICO,world,FLAL,I,2007,33134
"LIAT PROPERTIES, LLC",MEXICO,world,FLAL,I,2007,33126
"SYATT PROPERTIES, LLC",MEXICO,world,FLAL,I,2007,33126
"BANRURAL EXPRESS, INC.",GUATEMALA,world,DOMP,I,2007,33131
THE PERFECTION CONNECTION GROUP L.L.C.,JAMAICA,world,FORL,I,2008,33122
"PASSERELLI PROPERTIES S.A., INC.",BRITISH VIRGIN ISLANDS,world,FORP,A,2008,33146
"SCHUYLER INVESTMENTS CAPITAL, INC.",BRITISH VIRGIN ISLANDS,world,FORP,I,2009,33134
"KOSHER PASSOVER HOLIDAYS, CORP",JAMAICA,world,DOMP,A,2010,33154
WINDWARD ISLANDS AIRWAYS INTERNATIONAL N.V. LLC,NETHERLANDS ANTILLES,world,FORL,I,2010,33134
CAYMAN CAPITAL LLC,CAYMAN ISLANDS,world,FLAL,A,2012,33179
AZTEC FINANCIAL ENTERPRISES INC.,BRITISH VIRGIN ISLANDS,world,FORP,I,1989,33166
"SANTIAGO TECHNOLOGICAL UNIVERSITY ASSOCIATION, INC.",DOMINICAN REPUBLIC,world,FORNP,I,1985,33162
MUZZO BROTHERS GROUP INC.,CANADA,world,FORP,A,1986,33134
"FRIENDLY MECHANICAL SYSTEMS, INC.",JAMAICA,world,FORP,I,1981,33138
"JUGGERNAUT PROPERTIES, N.V.",NETHERLANDS ANTILLES,world,AGENT,A,1984,33131
BARNWELL LIMITED,BRITISH VIRGIN ISLANDS,world,AGENT,A,1992,33131
SORWIND N.V. INC.,NETHERLANDS ANTILLES,world,FORP,I,1978,33134
"GAS CONSULTING, LTD.",LEBANON,world,DOMLP,I,1993,33130
PROXIMA PROPERTIES S.A.,BRITISH VIRGIN ISLANDS,world,AGENT,A,1994,33131
"DUNBAR ENTERPRISES, INC.",BRITISH VIRGIN ISLANDS,world,AGENT,A,1995,33131
"FIDAKIM, S.A.",SWITZERLAND,world,AGENT,A,1995,33134
"FORMERICA CONSOLIDATION SERVICE, INC.",JAMAICA,world,FORP,I,1996,33166
DECONDE INTERNATIONAL LTD.,BRITISH VIRGIN ISLANDS,world,AGENT,A,2000,33131
WALTER-HEILIT VERKEHRSWEGEBAU GMBH,GERMANY,world,FORP,I,2000,33156
"ALBATRANS, INC.",JAMAICA,world,FORP,A,2002,33172
UNION OVERSEAS COMPANY,EGYPT,world,FORP,I,2004,33178
PRESIDENTIAL COACHLINES LLC,CANADA,world,FLAL,I,2004,33131
ARGUELLES & COMPANY LLC,BELIZE,world,FLAL,A,2004,33014
"REUNION ISLAND, INC.",REUNION,world,DOMP,A,2006,33131
REHABILITATION CENTRE FOR PROSTITUTES AND ROOTLESS CHILDREN (PARC) CORP.,BANGLADESH,world,FORNP,I,2007,33162
"SIMA REALTY HOLDINGS, INC.",KUWAIT,world,DOMP,A,2008,33130
TALENTO CORP,MEXICO,world,DOMP,A,2009,33134
CBIN LLC,UNITED KINGDOM,world,FLAL,I,2011,33145
"NINESCA, INC",VENEZUELA,world,DOMP,A,2011,33015
"IP-MART NETWORK, INC.",VENEZUELA,world,DOMP,A,2012,33013
